a,b,c,d
-117.6463623,0,-25.82481384,1.903633118
406.8795166,0.81855011,248.2913513,-1.112968445
921.9525146,830.0650635,329.1647339,63.7114563
127.770752,-1.554199219,29.74786377,6.433364868
-879.6448364,-865.9937744,-210.5759277,-47.68128967
-379.4458618,-0.812149048,-247.768158,1.10370636
395.3247986,-1.081016541,251.3015137,-0.159980774
-379.0690613,-0.679199219,-245.9618835,2.21472168
-118.4097366,0,-25.78277206,0
125.3977966,-0.945655823,20.1902771,-0.945655823
394.6895752,0.813354492,255.6835022,-1.107170105
-378.4595642,0.133827209,-253.0773621,0.159980774
396.2561646,1.900543213,251.5987854,-1.900535583
-380.4127502,-0.947189331,-248.1665955,0.947189331
-117.1720963,-0.945655823,-28.65800095,1.891304016
393.5440369,1.631896973,248.8963928,-2.221672058
-377.6686096,-0.814903259,-243.5436554,1.107170105
394.0515137,0.948730469,248.4395142,-0.948722839
-381.3530579,-0.812477112,-242.6276855,1.10332489
124.3831787,0,22.87097168,0
-116.98172,0.945655823,-28.6113739,0
391.3933411,4.575187683,255.2962036,-3.944877625
-378.348938,0.132286072,-244.6605072,1.108711243
397.7842407,0.813682556,248.3369751,-2.052429199
-381.3141785,-0.812477112,-240.9459686,1.104858398
123.5348969,-0.132858276,25.65729523,0.783782959
402.2739258,1.756599426,249.6748657,-1.10332489
-380.6621094,-0.807342529,-253.6082153,2.037155151
398.4420166,0.810943604,251.5754089,-1.101799011
-114.5717468,0,-30.86532593,0
-383.5537415,-0.810058594,-241.5071564,1.099502563
126.7175903,0.941070557,21.75006104,0.941078186
403.0183716,0.809738159,247.0808411,-1.101409912
-382.624054,0.132537842,-252.1107178,2.981651306
400.6733704,0.807655334,253.6313782,-1.095703125
-384.8623047,-0.677848816,-250.2035065,0.316482544
-116.8830414,0,-27.55779266,0
400.4449158,0.268638611,252.4529572,-0.630683899
130.9127197,0,27.50848389,-1.903625488
-387.6722107,-1.770362854,-248.6793671,-0.793754578
